latency_ms,status,error
364.00309996679425,200,
365.39630009792745,200,
364.73509995266795,200,
368.2534000836313,200,
370.2417998574674,200,
430.8622998651117,200,
802.4883000180125,200,
454.6004000585526,200,
456.66949986480176,200,
454.34739999473095,200,
461.4985000807792,200,
829.6167999505997,200,
829.1984000243247,200,
833.3387000020593,200,
839.285499881953,200,
846.6064999811351,200,
856.7074998281896,200,
853.7459000945091,200,
859.3639000318944,200,
858.488199999556,200,
519.8397000785917,200,
814.3253999296576,200,
451.5408000443131,200,
444.15859994478524,200,
458.45319982618093,200,
452.5681999512017,200,
445.2702000271529,200,
453.57170002534986,200,
451.61719992756844,200,
462.51280000433326,200,
438.19480016827583,200,
450.6417000666261,200,
451.100799953565,200,
461.64339990355074,200,
473.5705000348389,200,
463.69369979947805,200,
812.1041001286358,200,
455.6785000022501,200,
446.1284999269992,200,
450.015899958089,200,
469.21840007416904,200,
447.00489984825253,200,
456.7140999715775,200,
460.6856000609696,200,
431.91659986041486,200,
464.3021000083536,200,
464.95250007137656,200,
464.4261000212282,200,
453.15419998951256,200,
455.446399981156,200,
456.03530015796423,200,
376.0773001704365,200,
456.442299997434,200,
458.5837998893112,200,
481.8437001667917,200,
458.46270001493394,200,
448.6783999018371,200,
456.8815000820905,200,
460.714700166136,200,
441.9269999489188,200,
462.442500051111,200,
451.9185000099242,200,
471.7011998873204,200,
452.6661999989301,200,
455.7712997775525,200,
905.6299000512809,200,
816.6391998529434,200,
475.4846999421716,200,
454.759799875319,200,
459.80269997380674,200,
446.18970016017556,200,
455.27390018105507,200,
448.12120008282363,200,
453.0504001304507,200,
449.4336999487132,200,
451.7479999922216,200,
455.96559997648,200,
446.23300014063716,200,
471.33269999176264,200,
455.05590015091,200,
470.5848000012338,200,
376.8929000943899,200,
467.96849998645484,200,
500.8731000125408,200,
463.7496001087129,200,
477.1408000960946,200,
471.3699999265373,200,
476.786500075832,200,
468.59310008585453,200,
485.5277999304235,200,
453.49569991230965,200,
456.08319994062185,200,
483.0185000319034,200,
461.0601000022143,200,
457.91730005294085,200,
914.3411000259221,200,
800.0811999663711,200,
502.5417001452297,200,
440.85479993373156,200,
444.4343999493867,200,
447.4190000910312,200,
460.3597999084741,200,
470.6551998388022,200,
472.6841999217868,200,
458.4478000178933,200,
460.6413000728935,200,
448.5451001673937,200,
456.8392999935895,200,
455.3038999438286,200,
458.24830001220107,200,
484.853999922052,200,
788.9228002168238,200,
505.28830010443926,200,
450.8944998960942,200,
443.3263000100851,200,
458.6916998960078,200,
446.7754999641329,200,
449.64160001836717,200,
450.08340012282133,200,
469.47589982300997,200,
459.1018999926746,200,
452.8349998872727,200,
469.89049995318055,200,
458.68950011208653,200,
455.95309999771416,200,
490.6889998819679,200,
370.8015999291092,200,
466.00349992513657,200,
527.8092999942601,200,
468.55390002019703,200,
868.5890999622643,200,
487.7877999097109,200,
466.32609982043505,200,
466.3243000395596,200,
455.50369983538985,200,
483.47989981994033,200,
463.87129998765886,200,
476.48170008324087,200,
459.3889999669045,200,
463.7998999096453,200,
499.8794000130147,200,
762.0683999266475,200,
545.0947999488562,200,
465.08709993213415,200,
475.9106000419706,200,
469.2096000071615,200,
469.74759991280735,200,
486.6969999857247,200,
457.3528999462724,200,
478.99800003506243,200,
477.53429994918406,200,
464.94169998914003,200,
465.4817001428455,200,
466.2023999262601,200,
478.20309991948307,200,
489.9677000939846,200,
769.6968999225646,200,
562.216900056228,200,
472.0038000959903,200,
471.5777998790145,200,
470.32879991456866,200,
464.09490006044507,200,
464.8503998760134,200,
455.8846999425441,200,
471.7949000187218,200,
471.02109994739294,200,
465.6948000192642,200,
463.8020000420511,200,
467.8203999064863,200,
468.8650001771748,200,
477.37119998782873,200,
760.64100000076,200,
553.8800000213087,200,
446.470599854365,200,
461.7934001144022,200,
459.2601000331342,200,
451.1912001762539,200,
451.9108000677079,200,
459.21220001764596,200,
448.3919001650065,200,
450.9781999513507,200,
451.85910002328455,200,
461.3214998971671,200,
463.77429994754493,200,
463.9651000034064,200,
475.54880008101463,200,
747.070699930191,200,
443.5531999915838,200,
550.3591999877244,200,
445.7700999919325,200,
461.085099959746,200,
447.35449994914234,200,
457.5471000280231,200,
452.2974002175033,200,
449.6853998862207,200,
443.45710007473826,200,
449.6547000017017,200,
467.669399920851,200,
458.1138000357896,200,
448.77669983543456,200,
457.8245000448078,200,
741.431999951601,200,
549.814899917692,200,
446.7726000584662,200,
453.1727998983115,200,
442.87790008820593,200,
445.0248000212014,200,
450.66910004243255,200,
470.4059998039156,200,
457.07570016384125,200,
441.1786000709981,200,
454.31950013153255,200,
457.5466997921467,200,
459.32030002586544,200,
445.9896998014301,200,
463.2969999220222,200,
734.2636999674141,200,
559.6032999455929,200,
459.4192998483777,200,
463.6105999816209,200,
451.2267999816686,200,
472.93170006014407,200,
453.066699905321,200,
456.40740008093417,200,
457.70500018261373,200,
441.32920005358756,200,
462.34730002470315,200,
452.71530002355576,200,
455.7539999950677,200,
470.2359999064356,200,
455.59430005960166,200,
728.2598000019789,200,
559.4999000895768,200,
456.5038001164794,200,
465.7600000500679,200,
466.4720001164824,200,
478.8325000554323,200,
437.80439998954535,200,
459.53319990076125,200,
465.1742000132799,200,
439.2502000555396,200,
454.49299993924797,200,
466.0970999393612,200,
462.82849996350706,200,
452.3765000049025,200,
452.739599859342,200,
732.7057002112269,200,
560.9104000031948,200,
464.5875000860542,200,
450.05219988524914,200,
450.23529999889433,200,
470.9624000824988,200,
449.924300191924,200,
449.02539998292923,200,
455.0214000046253,200,
464.71609990112484,200,
451.8347999546677,200,
458.6654999293387,200,
461.47119998931885,200,
481.4172999467701,200,
471.3854000438005,200,
701.2895999941975,200,
555.9776998125017,200,
463.41530000790954,200,
446.56459987163544,200,
458.9661001227796,200,
460.75790002942085,200,
438.62769985571504,200,
443.2728998363018,200,
458.3886999171227,200,
454.1536998003721,200,
462.4055000022054,200,
459.67709994874895,200,
453.92100000754,200,
480.8471999131143,200,
456.7883999552578,200,
685.3954999241978,200,
556.9939999841154,200,
463.4229999501258,200,
446.8214998487383,200,
464.58579995669425,200,
459.78079992346466,200,
439.90660016424954,200,
446.77039980888367,200,
450.338700087741,200,
444.0214999485761,200,
463.08379992842674,200,
467.31840004213154,200,
449.6255998965353,200,
479.22209999524057,200,
454.12019989453256,200,
678.0098997987807,200,
557.7629001345485,200,
466.0275001078844,200,
449.39319998957217,200,
462.925500003621,200,
461.6904000286013,200,
439.22819988802075,200,
450.575599912554,200,
465.8234999515116,200,
465.9124999307096,200,
451.38420001603663,200,
460.2846000343561,200,
454.6139999292791,200,
495.1740000396967,200,
468.72619981877506,200,
657.1527998894453,200,
558.4883000701666,200,
469.11820000968874,200,
450.0630998518318,200,
465.4379999265075,200,
464.85129999928176,200,
452.53159990534186,200,
461.52990008704364,200,
440.22200000472367,200,
452.38679996691644,200,
463.6431001126766,200,
456.17079990915954,200,
463.5932999663055,200,
484.9964000750333,200,
453.2266999594867,200,
656.6713999491185,200,
573.4065000433475,200,
476.6166000626981,200,
462.3933001421392,200,
469.9230999685824,200,
450.1894998829812,200,
471.31419996730983,200,
464.31459998711944,200,
455.8236999437213,200,
465.6783000100404,200,
478.0196000356227,200,
463.43580004759133,200,
467.2929998487234,200,
491.583599941805,200,
463.61270011402667,200,
661.8608999997377,200,
592.4325999803841,200,
495.6732001155615,200,
497.4401001818478,200,
518.3554999530315,200,
478.34190004505217,200,
412.4734001234174,200,
481.23389994725585,200,
462.4137000646442,200,
481.7151001188904,200,
498.622499871999,200,
491.62960005924106,200,
495.1606001704931,200,
514.0780999790877,200,
602.483999915421,200,
679.2455001268536,200,
577.7286000084132,200,
487.34250012785196,200,
457.5008999090642,200,
464.15730006992817,200,
