latency_ms,status,error
374.44330006837845,422,http
374.5229998603463,422,http
374.9772999435663,422,http
374.8262000735849,422,http
377.99439998343587,422,http
726.6920001711696,422,http
361.9595000054687,422,http
362.4394000507891,422,http
381.5907998941839,422,http
387.29609991423786,422,http
831.4616999123245,422,http
839.1998000442982,422,http
840.7670001033694,422,http
845.1161000411958,422,http
844.0046000760049,422,http
846.1621999740601,422,http
845.4273999668658,422,http
847.0779999624938,422,http
849.1038999054581,422,http
856.6948999650776,422,http
713.9417000580579,422,http
362.5638000667095,422,http
363.80019993521273,422,http
383.0885000061244,422,http
378.8260999135673,422,http
430.083200102672,422,http
365.5651998706162,422,http
365.9991999156773,422,http
373.0603000149131,422,http
366.7359999381006,422,http
366.8557999189943,422,http
380.79590001143515,422,http
585.6646001338959,422,http
375.43089990504086,422,http
382.51669984310865,422,http
386.3979000598192,422,http
382.93900014832616,422,http
413.782199844718,422,http
388.79680004902184,422,http
365.46340002678335,422,http
363.59870014712214,422,http
378.20650008507073,422,http
381.0620999429375,422,http
378.01260012201965,422,http
853.9114999584854,422,http
865.3946002013981,422,http
873.306900030002,422,http
594.8254000395536,422,http
381.2506999820471,422,http
369.04779984615743,422,http
384.34999994933605,422,http
383.43569985590875,422,http
410.5220998171717,422,http
385.6374998576939,422,http
367.3199999611825,422,http
367.47179995290935,422,http
376.99400004930794,422,http
365.4829999431968,422,http
389.04540007933974,422,http
454.0425001177937,422,http
376.36470003053546,422,http
375.3319999668747,422,http
468.8441001344472,422,http
380.5435998365283,422,http
379.34770015999675,422,http
388.8069000095129,422,http
386.7667999584228,422,http
402.90969982743263,422,http
387.08480005152524,422,http
366.3794999010861,422,http
377.9223000165075,422,http
387.45050015859306,422,http
377.4798000231385,422,http
390.620700083673,422,http
440.9814001992345,422,http
380.71969989687204,422,http
375.0130000989884,422,http
450.10480005294085,422,http
378.5315998829901,422,http
374.25670004449785,422,http
389.39590007066727,422,http
389.22069990076125,422,http
397.0092998351902,422,http
387.0457001030445,422,http
375.43399981223047,422,http
376.97250000201166,422,http
391.8395999353379,422,http
391.5132998954505,422,http
395.219000056386,422,http
433.7015999481082,422,http
390.16340021044016,422,http
383.5615999996662,422,http
437.7825998235494,422,http
382.2121999692172,422,http
385.6114000082016,422,http
390.5448999721557,422,http
372.8406000882387,422,http
398.8963000010699,422,http
380.768199916929,422,http
390.2318999171257,422,http
382.79550010338426,422,http
386.1417998559773,422,http
384.0014000888914,422,http
379.8955997917801,422,http
418.58140006661415,422,http
393.37579999119043,422,http
389.0868001617491,422,http
426.59470019862056,422,http
385.56209998205304,422,http
383.2895001396537,422,http
